policy,avg_reward,std_reward,avg_completion_rate,avg_episode_length,avg_throughput,avg_energy_usage,avg_delay,p95_delay,max_delay,avg_breakdown_risk,avg_breakdown_rate,avg_energy_over_budget_rate,avg_action_validity_rate
ppo,10.484282821416855,0.0,1.0,21.0,0.5714285714285714,14.497093333333334,7.855007558578987,19.0,20.0,0.26559277380952373,0.0,0.0,1.0
baseline,8.56743298353906,0.0,1.0,19.0,0.631578947368421,15.799191578947369,8.256328320802005,16.099999999999998,17.0,0.29758999999999997,0.0,0.0,1.0
random,22.505147360559338,0.0,0.6666666666666666,60.0,0.13333333333333333,4.194107333333333,30.5,57.05,60.0,0.19640162499999975,0.03333333333333333,0.0,0.18333333333333332
