policy,avg_reward,std_reward,avg_completion_rate,avg_episode_length,avg_throughput,avg_energy_usage,avg_delay,p95_delay,max_delay,avg_breakdown_risk,avg_breakdown_rate,avg_energy_over_budget_rate,avg_action_validity_rate
ppo,54.33969293534756,0.6923203617334366,1.0,90.0,0.2111111111111111,8.146893066666665,3.1190500857167525,18.974999999999994,23.5,0.13077523999999974,0.09444444444444444,0.0,1.0
baseline,12.059466041689603,0.7701241126974105,1.0,26.5,0.7571428571428571,23.21758161142857,11.449106975365904,23.004166666666663,24.0,0.29147353800000003,0.09357142857142857,0.0,1.0
random,29.35744653478622,5.133431806331901,1.0,75.0,0.2722222222222222,9.79422493333333,32.66666666666667,65.8,69.5,0.234678473333333,0.05555555555555555,0.0,0.325
